name,url,height_mdpl,province,image_url,description
Puncak Jaya Wijaya,https://datagunung.com/gunung/Puncak Jaya Wijaya/info,,Unknown,https://datagunung.com/images/mobile-Puncak Jaya Wijaya.webp,"Puncak Pegunungan Jaya Wijaya, yang terletak di Papua  merupakan bagian dari rangkaian Pegunungan Sudirman, dengan puncak tertingginya yaitu Puncak Jaya 4884 mdpl.

Puncak Jaya, juga dikenal sebagai Carstensz Pyramid, di sekitarnya terdapat gletser dengan nama yang sama yakni gletser Carstensz.

Gunung Jayawijaya merupakan tempat di Indonesia yang memiliki salju abadi. Puncak Jayawijaya bersuhu ekstrem mencapai 0°C sampai -5°C pada siang hari bahkan bisa mencapai -10°C pada malam hari.

Puncak Jayawijaya ini merupakan gunung tertinggi di Indonesia dan ke-7 tertinggi di kawasan Asia Tenggara."
Kerinci,https://datagunung.com/gunung/Kerinci/info,,Unknown,https://datagunung.com/images/mobile-Kerinci.webp,"Gunung Kerinci terletak di wilayah Taman Nasional Kerinci Seblat yang berada di batas dua propinsi, Jambi dan Sumatra Barat.
Taman Nasional Kerinci Seblat merupakan bagian dari pegunungan Bukit Barisan.dan ditetapkan sebagai salah satu ‘World Heritage Site”, The Tropical Rainforest Heritage Of Sumatra.
Gunung Kerinci adalah gunung tertinggi di Sumatra dan gunung berapi tertinggi di Indonesia yang masih aktif.

Jalur pendakian utama dimulai dari Kersik Tuo melewati medan pendakian yang relatif berat untuk dapat mencapai puncak Indrapura."
Rinjani,https://datagunung.com/gunung/Rinjani/info,,Unknown,https://datagunung.com/images/mobile-Rinjani.webp,"Gunung Rinjani adalah gunung berapi aktif yang terletak di Pulau Lombok, Nusa Tenggara Barat.
Terbentuk dari letusan vulkanik yang terjadi ribuan tahun yang lalu dan terus mengalami aktivitas vulkanik hingga saat ini. Puncak Rinjani dikelilingi oleh kawah yang luas dan danau yang terbentuk akibat letusan dahsyat pada masa lalu.
Kawah ini dikenal dengan sebutan Segara Anak yang memiliki kedalaman sekitar 230 meter dan di dalamnya terdapat Gunung Baru Jari yang merupakan gunung berapi muda.

Kawasan Rinjani memiliki keindahan alam yang luar biasa dan pemandangan indah dari puncak yang menakjubkan. Selain itu, kawasan Rinjani merupakan tempat bagi berbagai spesies flora dan fauna yang langka.

Pendakian ke Gunung Rinjani juga membutuhkan persiapan fisik dan mental prima karena jalur pendakian ke puncak cukup umumnya membutuhkan waktu yang relatif lama."
Semeru,https://datagunung.com/gunung/Semeru/info,,Unknown,https://datagunung.com/images/mobile-Semeru.webp,"Gunung Semeru adalah gunung berapi aktif dan tertinggi di pulau Jawa. Gunung ini terletak di kawasan Taman Nasional Bromo Tengger Semeru, di perbatasan Kabupaten Lumajang, Kabupaten Malang, dan Kabupaten Pasuruan, Jawa Timur. Gunung Semeru memiliki ketinggian 3.676 meter di atas permukaan laut dan sering disebut sebagai ""Mahameru"", yang dalam bahasa Jawa berarti ""Gunung Besar"".

Gunung Semeru memiliki lereng yang curam dan dipenuhi oleh bebatuan vulkanik dan puing-puing dari letusan sebelumnya. Gunung ini memiliki kawah yang luas di puncaknya yang dikenal dengan sebutan ""Kawah Jonggring Saloko"". Di dalam kawah tersebut terdapat jejak-jejak aktivitas vulkanik, seperti uap air dan gas belerang.

Pada umumnya pendakian dimulai dari pos Ranu Pane menuju ke danau Ranu Kumbolo dengan menempuh perjalanan selama sekitar 6-8 jam. Jalur pendakian menuju danau ini cukup menantang dan memerlukan persiapan fisik yang baik, namun pemandangan yang ditawarkan oleh danau ini begitu indah dan memuaskan. Danau Ranu Kumbolo dikelilingi oleh bukit dan hutan yang hijau, dan memiliki air yang jernih dan tenang. Danau ini sering menjadi tempat singgah para pendaki yang menuju puncak Gunung Semeru, karena letaknya yang strategis di tengah jalur pendakian. Selain itu, danau ini juga menjadi tempat yang populer bagi para pecinta alam yang ingin menikmati keindahan alam pegunungan yang masih asli.
Selain menikmati keindahan danau, para pengunjung juga dapat melakukan aktivitas seperti berkemah, memancing, atau sekadar bersantai di sekitar danau.

Sebagai gunung berapi yang aktif, Gunung Semeru sering mengalami letusan dan aktivitas vulkanik.
Oleh karena itu, para pendaki dan pengunjung di sekitar Gunung Semeru harus selalu memperhatikan informasi terbaru tentang kondisi gunung dan mengikuti semua aturan dan regulasi yang ditetapkan oleh pihak berwenang untuk menjaga keselamatan dan kelestarian lingkungan."
Latimojong,https://datagunung.com/gunung/Latimojong/info,,Unknown,https://datagunung.com/images/mobile-Latimojong.webp,"Gunung Latimojong memiliki puncak tertinggi yang dikenal dengan nama Puncak Rantemario, yang berada pada ketinggian sekitar 3.478 meter di atas permukaan laut (mdpl). Puncak ini menjadikannya gunung tertinggi di Pulau Sulawesi. Puncak ini merupakan titik tertinggi di Sulawesi, menjadikannya salah satu dari ""Seven Summits"" Indonesia, yaitu tujuh puncak gunung tertinggi di Indonesia.

Gunung Latimojong terletak di Kabupaten Enrekang, Provinsi Sulawesi Selatan. Gunung ini berada di kawasan pegunungan Latimojong yang membentang di tengah pulau Sulawesi.
Pegunungan Latimojong memiliki tujuh puncak yaitu Buntu Rante Mario (tertinggi di Sulawesi), Buntu Nenemori, Buntu Sinaji, Buntu Sikolong, Buntu Rante Kambola, Buntu Bajaja, dan Buntu Latimojong.

Beberapa hewan langka yang  kemungkinan bisa ditemui di kawasan ini seperti anoa dan babirusa."
Slamet,https://datagunung.com/gunung/Slamet/info,,Unknown,https://datagunung.com/images/mobile-Slamet.webp,"Gunung Slamet adalah gunung tertinggi kedua di Pulau Jawa, setelah Gunung Semeru. Gunung ini terletak di Provinsi Jawa Tengah, Indonesia, dan memiliki ketinggian 3.432 meter di atas permukaan laut. Gunung Slamet memiliki bentuk kubah dan merupakan gunung berapi yang masih aktif.

Pemandangan di sekitar Gunung Slamet sangat indah, dengan hamparan sawah, perbukitan hijau, dan hutan yang luas. Di lereng gunung terdapat beberapa desa yang masih mempertahankan kebudayaan tradisional Jawa. Di kaki Gunung Slamet juga terdapat banyak sumber air yang menjadi sumber kehidupan bagi penduduk sekitar.

Untuk mencapai puncak Gunung Slamet, terdapat beberapa jalur pendakian yang dapat dipilih. Salah satunya adalah jalur pendakian dari Bambangan, Pemalang. Jalur ini merupakan jalur pendakian yang paling populer, karena dapat dicapai dengan mudah melalui jalan tol.

Meski jalur pendakian relatif mudah, namun pendaki harus tetap memperhatikan kondisi fisik dan cuaca yang ada, karena jalur pendakian ke puncak cukup terjal dan berliku. Di puncak Gunung Slamet, pendaki akan disuguhkan dengan pemandangan yang indah, terutama saat matahari terbit atau terbenam."
Sumbing,https://datagunung.com/gunung/Sumbing/info,,Unknown,https://datagunung.com/images/mobile-Sumbing.webp,"Gunung Sumbing adalah sebuah gunung yang terletak di Provinsi Jawa Tengah, Indonesia, di antara Kabupaten Magelang dan Kabupaten Temanggung. 

Untuk mendaki Gunung Sumbing, terdapat beberapa jalur pendakian yang dapat dipilih, antara lain melalui desa Garung atau desa Cepit di Kabupaten Magelang, serta desa Cepit atau desa Garung di Kabupaten Temanggung. Jalur pendakian umumnya cukup menantang, terutama pada bagian puncak yang curam dan berbatu.

Namun, perjalanan mendaki Gunung Sumbing akan terbayar dengan pemandangan yang spektakuler dari atas gunung. Pemandangan dari puncak Gunung Sumbing sangat indah, dengan panorama pegunungan dan lembah yang hijau dan subur di sekelilingnya. Pendaki dapat melihat ke arah utara menuju Kota Semarang dan pesisir utara Jawa Tengah, serta ke arah selatan dan barat menuju Pegunungan Dieng dan Gunung Merbabu."
Raung,https://datagunung.com/gunung/Raung/info,,Unknown,https://datagunung.com/images/mobile-Raung.webp,"Gunung Raung adalah gunung yang terletak di provinsi Jawa Timur dengan beberapa karakteristiksebagai berikut:

Ketinggian - sekitar 3.344 meter di atas permukaan laut, menjadikannya sebagai gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru.

Bentuk - kerucut dengan lereng yang curam. Puncak gunung memiliki formasi batu yang menyerupai puncak gunung es, sehingga memberikan kesan yang indah dan menarik.

Iklim - sejuk dan lembap sepanjang tahun, dengan suhu rata-rata sekitar 10-15 derajat Celsius pada ketinggian di atas 2.000 meter di atas permukaan laut. Namun pada saat musim hujan, sering terjadi hujan deras dan angin kencang, sehingga tidak disarankan untuk mendaki pada saat itu.

Vegetasi - di sekitar kaki gunung, terdapat hutan tropis yang lebat dengan pepohonan yang tinggi dan banyak tumbuhan liar. Namun, semakin mendekati puncak, vegetasi semakin jarang dan hanya terdapat rumput dan semak belukar.

Fauna - terdapat berbagai macam fauna seperti burung, kera, ular, dan hewan-hewan kecil lainnya.

Aktivitas vulkanik - meskipun bukan gunung berapi yang sangat aktif, namun gunung ini pernah meletus pada tahun 2015 dan menyebabkan sejumlah daerah terdampak abu vulkanik."
Arjuno,https://datagunung.com/gunung/Arjuno/info,,Unknown,https://datagunung.com/images/mobile-Arjuno-Welirang.webp,"Gunung Arjuno terletak di Kabupaten Malang dan Kabupaten Pasuruan. Gunung ini berdekatan dengan Gunung Welirang dan Gunung Semeru, yang merupakan gunung tertinggi di Jawa Timur. Gunung ini berada di bawah pengelolaan Taman Hutan Raya Raden Soerjo.

Gunung Arjuno bersebelahan dengan Gunung Welirang, Gunung Kembar I, dan Gunung Kembar II. Puncak Gunung Arjuno berdekatan dengan puncak gunung Welirang, sehingga kompleks ini sering disebut juga dengan Arjuno-Welirang. 

Gunung Arjuno memiliki ketinggian sekitar 3.339 mdpl, merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru.

Pada kawasan gunung Arjuno terdapat mata air sungai Brantas. Mata air sungai Brantas terletak di Desa Sumber Brantas, Bumiaji, yang merupakan sungai terpanjang kedua di Pulau Jawa setelah Bengawan Solo."
Lawu,https://datagunung.com/gunung/Lawu/info,,Unknown,https://datagunung.com/images/mobile-Lawu.webp,"Gunung Lawu terletak di antara tiga kabupaten, yaitu Ngawi, dan Magetan di Jawa Timur dan Karanganyar di Jawa Tengah.

Gunung Lawu memiliki 3 puncak yaitu Hargo Dalem, Hargo Dumiling, dan Hargo Dumilah."
